Louisiana State,"[('HOU', 'Randy Livingston', 1996, 0.24635695204941752), ('SAC', 'Jabari Smith', 2000, 0.2225919864814793), ('VAN', 'Stromile Swift', 2000, 0.2401826181874097), ('NOK', 'Brandon Bass', 2005, 0.1866388234767106), ('CHI', 'Tyrus Thomas', 2006, 0.2914664084117684), ('BOS', 'Glen Davis', 2007, 0.2636408511464775), ('GSW', 'Anthony Randolph', 2008, 0.32470230858067256), ('NOH', 'Marcus Thornton', 2009, 0.3697036738639134), ('MIL', ""Johnny O'Bryant III"", 2014, 0.19970445753264734), ('MEM', 'Jarell Martin', 2015, 0.2589159890494422), ('BOS', 'Jordan Mickey', 2015, 0.19881273965115087), ('BOS', 'Tremont Waters', 2019, 0.2526472203789482), ('ATL', 'Skylar Mays', 2020, 0.2330007353869589), ('BKN', 'Cam Thomas', 2021, 0.29012170243304586), ('HOU', 'Tari Eason', 2022, 0.33315087445318364)]"
Mississippi State,"[('IND', 'Erick Dampier', 1996, 0.26968862330890225), ('MEM', 'Lawrence Roberts', 2005, 0.1783695904660951), ('PHI', 'Arnett Moultrie', 2012, 0.22685918238096212), ('SAS', 'Quinndary Weatherspoon', 2019, 0.13476072457546062), ('BKN', 'Reggie Perry', 2020, 0.22493274289821322), ('SAC', 'Robert Woodard II', 2020, 0.20569294704163785)]"
Georgetown,"[('DET', 'Jerome Williams', 1996, 0.18688345441659202), ('HOU', 'Othella Harrington', 1996, 0.24542493131044255), ('PHI', 'Allen Iverson', 1996, 0.5767287084871425), ('WAS', 'Jahidi White', 1998, 0.20432048949558534), ('POR', 'Ruben Boumtje-Boumtje', 2001, 0.15241623245485086), ('NYK', 'Michael Sweetney', 2003, 0.260963420729002), ('SEA', 'Jeff Green', 2007, 0.330873482975846), ('IND', 'Roy Hibbert', 2008, 0.29271783209653224), ('DET', 'DaJuan Summers', 2009, 0.19330570919802467), ('DET', 'Greg Monroe', 2010, 0.35386317169319553), ('WAS', 'Otto Porter Jr.', 2013, 0.170490216606448)]"
Syracuse,"[('NYK', 'John Wallace', 1996, 0.2603762805376708), ('MIL', 'Jason Hart', 2000, 0.2448908982937618), ('PHI', 'Damone Brown', 2001, 0.18631796720748342), ('DEN', 'Carmelo Anthony', 2003, 0.4931846080860671), ('MEM', 'Hakim Warrick', 2005, 0.23937330002470417), ('CHI', 'Demetris Nichols', 2007, 0.18430033337785537), ('SAC', 'Donte Greene', 2008, 0.19996941266994284), ('MIN', 'Jonny Flynn', 2009, 0.4018685100728021), ('MIN', 'Wesley Johnson', 2010, 0.29288966641472175), ('NYK', 'Andy Rautins', 2010, 0.2248795918365529), ('CLE', 'Dion Waiters', 2012, 0.387002590357498), ('BOS', 'Fab Melo', 2012, 0.13543043950207748), ('BKN', 'Kris Joseph', 2012, 0.12957436106928844), ('PHI', 'Michael Carter-Williams', 2013, 0.5166513919560319), ('MIL', 'Tyler Ennis', 2014, 0.23717885324934365), ('PHI', 'Jerami Grant', 2014, 0.254681235602431), ('BKN', 'Chris McCullough', 2015, 0.22275454433737377), ('IND', 'Rakeem Christmas', 2015, 0.2649971488205216), ('DET', 'Michael Gbinije', 2016, 0.1071431747868266), ('SAC', 'Malachi Richardson', 2016, 0.21453739390545082), ('DEN', 'Tyler Lydon', 2017, 0.0), ('UTA', 'Elijah Hughes', 2020, 0.2052093993768135)]"
North Carolina,"[('DEN', 'Jeff McInnis', 1996, 0.27693927544247365), ('GSW', 'Antawn Jamison', 1998, 0.34060663392372553), ('TOR', 'Vince Carter', 1998, 0.46401402916764584), ('ATL', 'Shammond Williams', 1998, 0.23169885977513063), ('BOS', 'Joseph Forte', 2001, 0.14849568012804384), ('WAS', 'Brendan Haywood', 2001, 0.2576105470620779), ('CHA', 'Sean May', 2005, 0.32585150314328354), ('ATL', 'Marvin Williams', 2005, 0.2966209310430867), ('CHA', 'Raymond Felton', 2005, 0.4108398825811168), ('MIN', 'Rashad McCants', 2005, 0.2811327057970614), ('MIL', 'David Noel', 2006, 0.19632996135482675), ('GSW', 'Brandan Wright', 2007, 0.22910177089277428), ('IND', 'Tyler Hansbrough', 2009, 0.32445014320844606), ('DEN', 'Ty Lawson', 2009, 0.33158633081464894), ('CLE', 'Danny Green', 2009, 0.18769302219979303), ('MIN', 'Wayne Ellington', 2009, 0.2525439524481738), ('TOR', 'Ed Davis', 2010, 0.31483212084932094), ('CLE', 'Tyler Zeller', 2012, 0.30420789997467174), ('MIL', 'John Henson', 2012, 0.2909577920764932), ('GSW', 'Harrison Barnes', 2012, 0.30992714875931254), ('PHX', 'Kendall Marshall', 2012, 0.22366359742261888), ('LAC', 'Reggie Bullock', 2013, 0.18141660155689077), ('CHA', 'PJ Hairston', 2014, 0.231605839424756), ('LAC', 'Brice Johnson', 2016, 0.3593127514324798), ('SAC', 'Justin Jackson', 2017, 0.24998645889869145), ('UTA', 'Tony Bradley', 2017, 0.1456808983940005), ('PHX', 'Cameron Johnson', 2019, 0.29189353000739016), ('CHI', 'Coby White', 2019, 0.37679966664199277), ('POR', 'Nassir Little', 2019, 0.2030157916236235), ('ORL', 'Cole Anthony', 2020, 0.41802476351569684), ('BKN', ""Day'Ron Sharpe"", 2021, 0.3232490681976677)]"
Michigan State,"[('SAS', 'Jamie Feick', 1996, 0.2388256609846686), ('DET', 'Mateen Cleaves', 2000, 0.27589816624270996), ('TOR', 'Morris Peterson', 2000, 0.3095426068332349), ('POR', 'Zach Randolph', 2001, 0.23312070522975517), ('GSW', 'Jason Richardson', 2001, 0.39013681432145403), ('LAC', 'Paul Davis', 2006, 0.1747537214826407), ('DAL', 'Maurice Ager', 2006, 0.1850206862585734), ('CLE', 'Shannon Brown', 2006, 0.20800602099208135), ('GSW', 'Draymond Green', 2012, 0.2056084186163163), ('MIN', 'Adreian Payne', 2014, 0.28181784822193184), ('DEN', 'Gary Harris', 2014, 0.18224253245280794), ('LAC', 'Branden Dawson', 2015, 0.12695012761867572), ('CHI', 'Denzel Valentine', 2016, 0.23857884745136848), ('MEM', 'Deyonta Davis', 2016, 0.1708572733193323), ('MEM', 'Jaren Jackson Jr.', 2018, 0.37733393470636284), ('CHA', 'Miles Bridges', 2018, 0.28213188800633815), ('WAS', 'Cassius Winston', 2020, 0.1971642218009003), ('MEM', 'Xavier Tillman', 2020, 0.29651558080815504), ('LAL', 'Max Christie', 2022, 0.18874010960542145)]"
Texas Tech,"[('DAL', 'Jason Sasser', 1996, 0.1754371881838934), ('DEN', 'Tony Battie', 1997, 0.314541755397943), ('CHI', 'Cory Carr', 1998, 0.22625822068055298), ('MEM', 'Andre Emmett', 2004, 0.1524492018572255), ('PHI', 'Zhaire Smith', 2018, 0.2866396703085823), ('MIN', 'Jarrett Culver', 2019, 0.3002754155509017), ('SAC', ""Jahmi'us Ramsey"", 2020, 0.20607501466812908)]"
Western Kentucky,"[('VAN', 'Chris Robinson', 1996, 0.2310995681477245), ('ORL', 'Courtney Lee', 2008, 0.291786649788013), ('UTA', 'Jeremy Evans', 2010, 0.2331967416927324), ('PHI', 'Charles Bassey', 2021, 0.23362352704148426)]"
Indiana,"[('ORL', 'Brian Evans', 1996, 0.17162396427315466), ('MIN', 'Andrae Patterson', 1998, 0.22541153511682777), ('CHI', 'A.J. Guyton', 2000, 0.24605744184294517), ('CHH', 'Kirk Haston', 2001, 0.19090425234167693), ('WAS', 'Jared Jeffries', 2002, 0.2511825072744767), ('MIN', 'Bracey Wright', 2005, 0.2949243499645056), ('OKC', 'DJ White', 2008, 0.3201149576419326), ('LAC', 'Eric Gordon', 2008, 0.3888297287957809), ('CHA', 'Cody Zeller', 2013, 0.2808508739871056), ('ORL', 'Victor Oladipo', 2013, 0.4222515218832819), ('CHA', 'Noah Vonleh', 2014, 0.2222804615764219), ('TOR', 'OG Anunoby', 2017, 0.26150043847957966), ('LAL', 'Thomas Bryant', 2017, 0.1721358275651336), ('BOS', 'Romeo Langford', 2019, 0.18421490545428373)]"
Arkansas-Little Rock,"[('LAL', 'Derek Fisher', 1996, 0.2448549182186109)]"
Georgia,"[('UTA', 'Shandon Anderson', 1996, 0.2701600122941665), ('PHI', 'Jumaine Jones', 1999, 0.2091625891342359), ('WAS', 'Jarvis Hayes', 2003, 0.3025469649641787), ('LAC', 'Travis Leslie', 2011, 0.17678361506352083), ('LAC', 'Trey Thompkins', 2011, 0.2145656175516728), ('DET', 'Kentavious Caldwell-Pope', 2013, 0.21869525975972168), ('BKN', 'Nicolas Claxton', 2019, 0.24598913728259011), ('MIN', 'Anthony Edwards', 2020, 0.45597279362623544)]"
California,"[('VAN', 'Shareef Abdur-Rahim', 1996, 0.47240330564786265), ('ATL', 'Ed Gray', 1997, 0.2803204907804717), ('TOR', 'Sean Marks', 1998, 0.1956943900922019), ('MIL', 'Jamal Sampson', 2002, 0.09313348822923728), ('BOS', 'Leon Powe', 2006, 0.2436825111131061), ('NJN', 'Ryan Anderson', 2008, 0.2965408090775818), ('POR', 'Allen Crabbe', 2013, 0.18137138198295508), ('BOS', 'Jaylen Brown', 2016, 0.2649244481681334), ('BOS', 'Jabari Bird', 2017, 0.22876397685706676)]"
Louisville,"[('DAL', 'Samaki Walker', 1996, 0.25249237905563193), ('MIN', 'DeJuan Wheat', 1997, 0.1872397322328149), ('ORL', 'Reece Gaines', 2003, 0.16889167631401839), ('SAC', 'Francisco Garcia', 2005, 0.2546266104771851), ('NJN', 'Terrence Williams', 2009, 0.3457045422977459), ('PHX', 'Earl Clark', 2009, 0.20232224820408473), ('MIN', 'Gorgui Dieng', 2013, 0.2746097383133583), ('DET', 'Peyton Siva', 2013, 0.19009463698918286), ('MEM', 'Russ Smith', 2014, 0.25063842327843455), ('BOS', 'Terry Rozier', 2015, 0.17971939965997627), ('HOU', 'Montrezl Harrell', 2015, 0.23193528587625467), ('HOU', 'Chinanu Onuaku', 2016, 0.2313466884585207), ('UTA', 'Donovan Mitchell', 2017, 0.49572296000068966), ('PHX', 'Ray Spalding', 2018, 0.23440345665939355), ('MIL', 'Jordan Nwora', 2020, 0.2730708303036748), ('TOR', 'David Johnson', 2021, 0.061268209083119106)]"
Alabama,"[('VAN', 'Roy Rogers', 1996, 0.2718045330621471), ('DEN', 'Eric Washington', 1997, 0.2555986721585168), ('SAC', 'Gerald Wallace', 2001, 0.2166556836965298), ('UTA', 'Mo Williams', 2003, 0.24357108729105792), ('CHA', 'Jermareo Davidson', 2007, 0.21383925958914884), ('CLE', 'Collin Sexton', 2018, 0.40657746734940564), ('NOP', 'Kira Lewis Jr.', 2020, 0.2620507871899961), ('NOP', 'Herbert Jones', 2021, 0.3161496116239188), ('SAS', 'Joshua Primo', 2021, 0.2468848623504429), ('BOS', 'JD Davison', 2022, 0.18276547068369284)]"
Georgia Tech,"[('MIN', 'Stephon Marbury', 1996, 0.492336921698785), ('ORL', 'Matt Harpring', 1998, 0.29877700077899555), ('ATL', 'Dion Glover', 1999, 0.25400933684984334), ('HOU', 'Jason Collier', 2000, 0.20167708214422378), ('PHI', 'Alvin Jones', 2001, 0.16456043565987225), ('TOR', 'Chris Bosh', 2003, 0.3636169250641022), ('POR', 'Jarrett Jack', 2005, 0.29115297510147414), ('MEM', 'Javaris Crittenton', 2007, 0.26131810581938225), ('PHI', 'Thaddeus Young', 2007, 0.31295682804709657), ('PHX', 'Gani Lawal', 2010, 0.0), ('UTA', 'Derrick Favors', 2010, 0.29108978275293435), ('NYK', 'Iman Shumpert', 2011, 0.331589319696683), ('WAS', 'Glen Rice', 2013, 0.20173096545900324)]"
Tennessee,"[('BOS', 'Steve Hamer', 1996, 0.1827826749669238), ('MIL', 'Marcus Haislip', 2002, 0.21221139577831805), ('DEN', 'Vincent Yarbrough', 2002, 0.2753402870136709), ('MIL', 'Tobias Harris', 2011, 0.25110466406565884), ('MEM', 'Jarnell Stokes', 2014, 0.23739784581990478), ('MIA', 'Josh Richardson', 2015, 0.26046585087010005), ('BOS', 'Grant Williams', 2019, 0.2245796908842793), ('DET', 'Jordan Bone', 2019, 0.15043439891635343), ('WAS', 'Admiral Schofield', 2019, 0.18011566845647606), ('PHI', 'Jaden Springer', 2021, 0.22829638855141918), ('POR', 'Keon Johnson', 2021, 0.28369242204796674), ('MEM', 'Kennedy Chandler', 2022, 0.19632717135014452)]"
Santa Clara,"[('PHX', 'Steve Nash', 1996, 0.23684468929667932), ('OKC', 'Jalen Williams', 2022, 0.40055269695713047)]"
Kentucky,"[('NYK', 'Walter McCarty', 1996, 0.19966246590851325), ('CHH', 'Tony Delk', 1996, 0.266583042186003), ('BOS', 'Antoine Walker', 1996, 0.49620974641495774), ('BOS', 'Ron Mercer', 1997, 0.37459055980030875), ('CLE', 'Derek Anderson', 1997, 0.3762108926812327), ('PHI', 'Nazr Mohammed', 1998, 0.2370488785548622), ('UTA', 'Scott Padgett', 1999, 0.19579857347666704), ('CHH', 'Jamaal Magloire', 2000, 0.25477943186052676), ('DET', 'Tayshaun Prince', 2002, 0.2066505647337246), ('ORL', 'Keith Bogans', 2003, 0.2748447251744031), ('BOS', 'Rajon Rondo', 2006, 0.31771649557859993), ('NYK', 'Joe Crawford', 2008, 0.27237694711848226), ('PHI', 'Jodie Meeks', 2009, 0.22982870558717852), ('WAS', 'John Wall', 2010, 0.525899413531206), ('LAC', 'Eric Bledsoe', 2010, 0.31387910740601294), ('SAC', 'DeMarcus Cousins', 2010, 0.46300165078770866), ('HOU', 'Patrick Patterson', 2010, 0.2771992536074686), ('NYK', 'Josh Harrellson', 2011, 0.2613218632691992), ('ORL', 'DeAndre Liggins', 2011, 0.18761963034351833), ('UTA', 'Enes Kanter', 2011, 0.25029338303872756), ('DET', 'Brandon Knight', 2011, 0.3849205857085938), ('HOU', 'Terrence Jones', 2012, 0.25958327170641515), ('ORL', 'Doron Lamb', 2012, 0.1861299432684781), ('NOH', 'Anthony Davis', 2012, 0.4103501352851208), ('NOH', 'Darius Miller', 2012, 0.1756654349885374), ('CHI', 'Marquis Teague', 2012, 0.1982593832849752), ('CHA', 'Michael Kidd-Gilchrist', 2012, 0.33113578739556565), ('PHX', 'Archie Goodwin', 2013, 0.21976229110535095), ('LAL', 'Julius Randle', 2014, 0.12743426347414236), ('BOS', 'James Young', 2014, 0.1888913590899893), ('PHX', 'Devin Booker', 2015, 0.3678701618795403), ('UTA', 'Trey Lyles', 2015, 0.26852924347742535), ('SAC', 'Willie Cauley-Stein', 2015, 0.2850122568140982), ('MIN', 'Karl-Anthony Towns', 2015, 0.5152521531062757), ('PHX', 'Tyler Ulis', 2016, 0.309274023229184), ('SAC', 'Skal Labissiere', 2016, 0.32831645212828003), ('DEN', 'Jamal Murray', 2016, 0.32516087290929613), ('CHA', 'Malik Monk', 2017, 0.26761004016004025), ('SAC', ""De'Aaron Fox"", 2017, 0.38197121649878896), ('MIA', 'Bam Adebayo', 2017, 0.3126396740381819), ('OKC', 'Hamidou Diallo', 2018, 0.2052785949187634), ('DEN', 'Jarred Vanderbilt', 2018, 0.20266037968665582), ('LAC', 'Shai Gilgeous-Alexander', 2018, 0.3468336604691211), ('NYK', 'Kevin Knox II', 2018, 0.3441288014366531), ('SAS', 'Keldon Johnson', 2019, 0.34214683366194426), ('MIA', 'Tyler Herro', 2019, 0.37475687917438966), ('CHA', 'P.J. Washington', 2019, 0.3688413255685317), ('NYK', 'Immanuel Quickley', 2020, 0.3620959537843899), ('PHI', 'Tyrese Maxey', 2020, 0.29900012799554365), ('CHA', 'Nick Richards', 2020, 0.14854274232870027), ('IND', 'Isaiah Jackson', 2021, 0.3090818565516478), ('LAC', 'Brandon Boston', 2021, 0.26458617932864903), ('HOU', 'TyTy Washington Jr.', 2022, 0.22496772403115484), ('POR', 'Shaedon Sharpe', 2022, 0.30498990600951037)]"
Wright State,"[('CLE', 'Vitaly Potapenko', 1996, 0.2653749274236526)]"
Connecticut,"[('LAL', 'Travis Knight', 1996, 0.2685206598346252), ('MIL', 'Ray Allen', 1996, 0.37841255514097555), ('WAS', 'Richard Hamilton', 1999, 0.29877471686804463), ('CHI', 'Jake Voskuhl', 2000, 0.1846669609791957), ('CHI', 'Khalid El-Amin', 2000, 0.2797552608242455), ('MIA', 'Caron Butler', 2002, 0.41161420660341586), ('CHI', 'Ben Gordon', 2004, 0.4053137086696294), ('CHA', 'Emeka Okafor', 2004, 0.44583031664585593), ('TOR', 'Charlie Villanueva', 2005, 0.37764960313686036), ('MEM', 'Rudy Gay', 2006, 0.3331220936731085), ('NOK', 'Hilton Armstrong', 2006, 0.21351403124998403), ('NJN', 'Marcus Williams', 2006, 0.32526414924402464), ('NJN', 'Josh Boone', 2006, 0.2516364084987741), ('IND', 'AJ Price', 2009, 0.2955070418397411), ('MEM', 'Hasheem Thabeet', 2009, 0.21617736488272002), ('CHA', 'Kemba Walker', 2011, 0.4042679292808051), ('OKC', 'Jeremy Lamb', 2012, 0.22020684164433524), ('DET', 'Andre Drummond', 2012, 0.33588628606193865), ('MIA', 'Shabazz Napier', 2014, 0.26543354546902465), ('CHA', 'James Bouknight', 2021, 0.2412258678456173), ('ATL', 'Tyrese Martin', 2022, 0.16778323155760466)]"
North Carolina State,"[('GSW', 'Todd Fuller', 1996, 0.22692188444971953), ('DEN', 'Julius Hodge', 2005, 0.22608002959931547), ('NOK', 'Cedric Simmons', 2006, 0.19065802569630505), ('CLE', 'JJ Hickson', 2008, 0.23329461919761338), ('PHI', 'Lorenzo Brown', 2013, 0.20519444667349637), ('PHX', 'TJ Warren', 2014, 0.2468673682124144), ('DAL', 'Dennis Smith Jr.', 2017, 0.4594975804134298)]"
Memphis,"[('LAC', 'Lorenzen Wright', 1996, 0.2905996990298057), ('CLE', 'Cedric Henderson', 1997, 0.33289850431105505), ('CLE', 'Dajuan Wagner', 2002, 0.35003573733650634), ('MEM', 'Antonio Burks', 2004, 0.2152854666435954), ('PHI', 'Rodney Carney', 2006, 0.24165658458072162), ('IND', 'Shawne Williams', 2006, 0.2153800854269421), ('HOU', 'Joey Dorsey', 2008, 0.1654905525172166), ('CHI', 'Derrick Rose', 2008, 0.47750490495290193), ('NJN', 'Chris Douglas-Roberts', 2008, 0.24917902965957525), ('SAC', 'Tyreke Evans', 2009, 0.5292226951869893), ('POR', 'Will Barton', 2012, 0.22787178674568234), ('GSW', 'James Wiseman', 2020, 0.36228688936331294), ('MIA', 'Precious Achiuwa', 2020, 0.25810770205531014), ('DET', 'Jalen Duren', 2022, 0.3734318841012472), ('MIN', 'Josh Minott', 2022, 0.24625897128678753)]"
Drexel,"[('CHH', 'Malik Rose', 1996, 0.2284756995728485)]"
Murray State,"[('POR', 'Marcus Brown', 1996, 0.24487272205046642), ('HOU', 'Isaiah Canaan', 2013, 0.23563174585523342), ('OKC', 'Cameron Payne', 2015, 0.25963688967668225), ('MEM', 'Ja Morant', 2019, 0.5242250084315891)]"
Massachusetts,"[('TOR', 'Marcus Camby', 1996, 0.4085000864604044), ('CLE', 'Lari Ketner', 1999, 0.1681995228764809), ('MIA', 'Stephane Lasme', 2007, 0.23467762345115803)]"
Villanova,"[('NJN', 'Kerry Kittles', 1996, 0.39835978212863526), ('PHI', 'Tim Thomas', 1997, 0.3354624074948112), ('TOR', 'Alvin Williams', 1997, 0.2513039992584552), ('ORL', 'Jason Lawson', 1997, 0.21140758332920806), ('LAL', 'John Celestand', 1999, 0.17640779248874397), ('TOR', 'Michael Bradley', 2001, 0.16250091508991277), ('MIN', 'Randy Foye', 2006, 0.3473175063932828), ('MEM', 'Kyle Lowry', 2006, 0.35169524154488924), ('POR', 'Dante Cunningham', 2009, 0.23353329623520921), ('DET', 'Darrun Hilliard', 2015, 0.2241085064483567), ('LAL', 'Josh Hart', 2017, 0.29129843080419504), ('MIL', 'Donte DiVincenzo', 2018, 0.26575803006460114), ('DAL', 'Jalen Brunson', 2018, 0.3281151173860374), ('ATL', 'Omari Spellman', 2018, 0.26412844612410474), ('PHX', 'Mikal Bridges', 2018, 0.28393001465969253), ('GSW', 'Eric Paschall', 2019, 0.38401652705391087), ('DET', 'Saddiq Bey', 2020, 0.34445599270319255), ('OKC', 'Jeremiah Robinson-Earl', 2021, 0.29922091711936)]"
Washington State,"[('PHI', 'Mark Hendrickson', 1996, 0.19972166565217572), ('OKC', 'Kyle Weaver', 2008, 0.2479540116528526), ('GSW', 'Klay Thompson', 2011, 0.35448004903064895), ('POR', 'CJ Elleby', 2020, 0.17960242859557118)]"
Central State (OH),"[('ATL', 'Priest Lauderdale', 1996, 0.2549246729183285)]"
Arizona,"[('CLE', 'Reggie Geary', 1996, 0.19204163309234415), ('PHX', 'Ben Davis', 1996, 0.16240373615426937), ('VAN', 'Mike Bibby', 1998, 0.4303552349652741), ('HOU', 'Michael Dickerson', 1998, 0.31024435584692456), ('ORL', 'Miles Simon', 1998, 0.1288848361609791), ('CLE', 'A.J. Bramlett', 1999, 0.13862334574479573), ('ATL', 'Jason Terry', 1999, 0.33148803349386574), ('NJN', 'Richard Jefferson', 2001, 0.32663756027207463), ('GSW', 'Gilbert Arenas', 2001, 0.36325487689192254), ('MIN', 'Loren Woods', 2001, 0.17869578366800876), ('LAL', 'Luke Walton', 2003, 0.21676963749969724), ('PHI', 'Andre Iguodala', 2004, 0.3521683597899663), ('ATL', 'Salim Stoudamire', 2005, 0.3008436094895378), ('NYK', 'Channing Frye', 2005, 0.3703878677858013), ('NJN', 'Hassan Adams', 2006, 0.2104053408073371), ('LAC', 'Marcus Williams', 2007, 0.16637380995604448), ('POR', 'Jerryd Bayless', 2008, 0.2401396074325779), ('HOU', 'Chase Budinger', 2009, 0.29584825041972135), ('HOU', 'Jordan Hill', 2009, 0.2569883279834547), ('MIN', 'Derrick Williams', 2011, 0.30842432428115624), ('IND', 'Solomon Hill', 2013, 0.18093714095648752), ('HOU', 'Nick Johnson', 2014, 0.18755725720781577), ('ORL', 'Aaron Gordon', 2014, 0.24917758113661528), ('BKN', 'Rondae Hollis-Jefferson', 2015, 0.28333718798159335), ('DET', 'Stanley Johnson', 2015, 0.30442999667842363), ('BOS', 'Kadeem Allen', 2017, 0.14414710167440087), ('CHI', 'Lauri Markkanen', 2017, 0.41552252433410386), ('PHX', 'Deandre Ayton', 2018, 0.48121750657113926), ('DEN', 'Zeke Nnaji', 2020, 0.19803866538100656), ('DAL', 'Josh Green', 2020, 0.19033892525559595), ('GSW', 'Nico Mannion', 2020, 0.2522471343639588), ('IND', 'Bennedict Mathurin', 2022, 0.39532783372042446), ('TOR', 'Christian Koloko', 2022, 0.22058658910092588), ('CHI', 'Dalen Terry', 2022, 0.20654431403869708)]"
West Florida,"[('VAN', 'Moochie Norris', 1996, 0.19256565392560146)]"
